Адрес	Инструкция
0x62501026	call eax
0x62501057	ret
0x625010E8	call eax
0x6250116C	ret
0x62501192	ret
0x6250122C	ret
0x62501271	ret
0x62501293	ret
0x62501297	jmp esp
0x62501299	jmp eax
0x6250129C	pop eax; ret
0x6250129D	ret
0x6250129F	ret
0x625012A3	jmp esp
0x625012A9	ret
0x625012AB	ret
0x625012AF	jmp esp
0x625012B1	jmp ebx
0x625012B5	ret
0x625012B7	ret
0x625012BB	jmp esp
0x625012C1	ret
0x625012C3	ret
0x625012C7	jmp esp
0x625012C9	jmp edx
0x625012CD	ret
0x625012CF	ret
0x625012D3	jmp esp
0x625012D8	pop eax; ret
0x625012D9	ret
0x625012DB	ret
0x625012DF	jmp esp
0x625012E5	ret
0x625012E7	ret
0x625012EB	jmp esp
0x625012ED	jmp esp
0x625012F5	ret
0x625012F7	ret
0x62501317	ret
0x62501331	ret
0x62501364	ret
0x62501384	ret
0x625013A4	ret
0x625013D0	call eax
0x625013EB	ret
0x62501422	ret
0x62501428	ret
0x6250144B	ret
0x62501502	call eax
0x62501505	ret
0x62501542	ret
0x62501593	call eax
0x625015B1	ret
0x625015DB	ret
0x625015F7	ret
0x62501639	ret
0x62501669	ret
0x625016B5	ret
0x62501714	ret
0x6250175C	ret
0x625017EB	ret
0x62501830	ret
0x625018AA	ret
0x625018D9	ret
0x62501949	ret
0x625019B9	ret
0x625019E5	ret
0x62501B88	ret
